artist_id,name,stage,startdate,enddate
74,Eee Gee ,Lima,2023-08-20T12:00:00+02:00,2023-08-20T13:00:00+02:00
75,Eileen ,Hacienda,2023-08-18T18:30:00+02:00,2023-08-18T20:30:00+02:00
76,Eliza Rose ,India,2023-08-19T22:00:00+02:00,2023-08-19T23:00:00+02:00
77,Elkka ,X-Ray,2023-08-18T19:45:00+02:00,2023-08-18T20:45:00+02:00
78,Emojiii ,X-Ray,2023-08-20T10:00:00+02:00,2023-08-20T10:30:00+02:00
79,Encore ,Heineken,2023-08-19T21:00:00+02:00,2023-08-19T21:45:00+02:00
80,Eus’ Boekenclub ,Adonis,2023-08-19T13:00:00+02:00,2023-08-19T13:45:00+02:00
81,Eycee ,India,2023-08-18T20:50:00+02:00,2023-08-18T21:50:00+02:00
82,Ezra Collective ,Heineken,2023-08-19T11:30:00+02:00,2023-08-19T12:30:00+02:00
83,Fafi Abdel Nour ,Bravo,2023-08-19T01:30:00+02:00,2023-08-19T03:00:00+02:00
84,Fanfara Station ,Lima,2023-08-20T20:15:00+02:00,2023-08-20T21:15:00+02:00
85,Fc Afkicken: Niemand Buitenspel (Vrijdag) ,Echo,2023-08-18T14:45:00+02:00,2023-08-18T15:30:00+02:00
86,Fc Afkicken: Niemand Buitenspel (Zaterdag) ,Echo,2023-08-19T14:45:00+02:00,2023-08-19T15:30:00+02:00
87,Fc Afkicken: Niemand Buitenspel (Zondag) ,Echo,2023-08-20T14:45:00+02:00,2023-08-20T15:30:00+02:00
88,Fever Ray ,Heineken,2023-08-20T17:00:00+02:00,2023-08-20T18:00:00+02:00
89,Fiesta Macumba ,Heineken,2023-08-20T21:00:00+02:00,2023-08-21T01:00:00+02:00
90,Finn Visser ,Adonis,2023-08-18T15:30:00+02:00,2023-08-18T16:00:00+02:00
91,First Aid Kit ,Alpha,2023-08-18T14:00:00+02:00,2023-08-18T15:00:00+02:00
92,Fleur Du Bonheur ,Hacienda,2023-08-20T14:30:00+02:00,2023-08-20T16:30:00+02:00
93,Florence + the Machine ,Alpha,2023-08-19T18:15:00+02:00,2023-08-19T19:30:00+02:00
94,Foals ,Alpha,2023-08-19T16:00:00+02:00,2023-08-19T17:00:00+02:00
95,Franc Moody ,Heineken,2023-08-20T13:00:00+02:00,2023-08-20T14:00:00+02:00
96,Fumer Fait Tousser ,Echo,2023-08-18T19:05:00+02:00,2023-08-18T20:25:00+02:00
97,Gayance ,Hacienda,2023-08-19T18:30:00+02:00,2023-08-19T20:30:00+02:00
98,Ghetto Funk Collective: It’s On the One ,Juliet,2023-08-20T15:00:00+02:00,2023-08-20T15:35:00+02:00
99,Ghost Dog: the Way Of the Samurai (Lowlandsklassieker) ,Echo,2023-08-20T22:45:00+02:00,2023-08-21T00:45:00+02:00
100,Girl In Red ,Bravo,2023-08-18T17:15:00+02:00,2023-08-18T18:15:00+02:00
101,Gladde Paling ,India,2023-08-21T01:30:00+02:00,2023-08-21T02:30:00+02:00
102,Hannah Grae ,Lima,2023-08-20T10:15:00+02:00,2023-08-20T11:00:00+02:00
103,Heilung ,Heineken,2023-08-20T19:00:00+02:00,2023-08-20T20:15:00+02:00
104,Hellie ,Hacienda,2023-08-20T18:30:00+02:00,2023-08-20T20:30:00+02:00
105,Het Begin Van Alles ,Adonis,2023-08-19T11:30:00+02:00,2023-08-19T12:15:00+02:00
106,Jasss ,X-Ray,2023-08-18T23:45:00+02:00,2023-08-19T01:15:00+02:00
107,Jayda G ,Bravo,2023-08-18T22:30:00+02:00,2023-08-19T00:00:00+02:00
108,Jeans B2B Spekki Webu ,X-Ray,2023-08-19T01:15:00+02:00,2023-08-19T02:45:00+02:00
109,Jengi ,Hacienda,2023-08-19T01:00:00+02:00,2023-08-19T02:30:00+02:00
110,Jeroen Leenders ,Adonis,2023-08-19T15:30:00+02:00,2023-08-19T16:00:00+02:00
111,Jessie Ware ,Bravo,2023-08-18T15:00:00+02:00,2023-08-18T16:00:00+02:00
112,Job Jobse ,Bravo,2023-08-20T01:00:00+02:00,2023-08-20T03:00:00+02:00
113,Joe Unknown ,X-Ray,2023-08-20T13:00:00+02:00,2023-08-20T13:45:00+02:00
114,John Coffey ,Heineken,2023-08-18T21:45:00+02:00,2023-08-18T22:45:00+02:00
115,Joost ,Alpha,2023-08-18T12:00:00+02:00,2023-08-18T13:00:00+02:00
116,Jorn Van Dam ,Adonis,2023-08-20T14:30:00+02:00,2023-08-20T15:00:00+02:00
117,Julie ,X-Ray,2023-08-18T16:15:00+02:00,2023-08-18T17:00:00+02:00
118,Jyoty ,India,2023-08-19T00:00:00+02:00,2023-08-19T01:00:00+02:00
119,Kelela ,India,2023-08-20T17:50:00+02:00,2023-08-20T18:50:00+02:00
120,Kennyhoopla ,India,2023-08-18T11:20:00+02:00,2023-08-18T12:20:00+02:00
121,King Gizzard & the Lizard Wizard ,Bravo,2023-08-19T19:30:00+02:00,2023-08-19T20:30:00+02:00
122,Kort En Krachtig: Nederlandse Shorts (Eenmalig) ,Echo,2023-08-20T17:00:00+02:00,2023-08-20T18:00:00+02:00
123,L'impératrice ,Bravo,2023-08-19T15:00:00+02:00,2023-08-19T16:00:00+02:00
124,Lancey Foux ,India,2023-08-20T12:15:00+02:00,2023-08-20T13:00:00+02:00
125,Leyo & Faisal ,Hacienda,2023-08-18T23:00:00+02:00,2023-08-19T01:00:00+02:00
126,Liv.e ,X-Ray,2023-08-19T14:55:00+02:00,2023-08-19T15:45:00+02:00
127,Loyle Carner ,Bravo,2023-08-19T17:15:00+02:00,2023-08-19T18:15:00+02:00
128,Lsdxoxo B2B Vtss ,Bravo,2023-08-20T22:15:00+02:00,2023-08-21T00:15:00+02:00
129,M83 ,Heineken,2023-08-19T19:45:00+02:00,2023-08-19T20:45:00+02:00
130,Maey ,Hacienda,2023-08-18T14:30:00+02:00,2023-08-18T16:30:00+02:00
131,Magic Tom & Yuri: Down the Lol Hole ,Juliet,2023-08-20T17:00:00+02:00,2023-08-20T17:45:00+02:00
132,Mama Africa ,Lima,2023-08-18T22:00:00+02:00,2023-08-19T01:00:00+02:00
133,"Mandy, Indiana ",X-Ray,2023-08-20T18:00:00+02:00,2023-08-20T19:00:00+02:00
134,Marie Koet ,Adonis,2023-08-19T16:30:00+02:00,2023-08-19T17:00:00+02:00
135,Martijn Koning ,Juliet,2023-08-20T20:45:00+02:00,2023-08-20T21:45:00+02:00
